bunit,route,product,week,sales,trend,xmas_ny,pre_xmas_dip,pre_xmas_dip-1,bts,pre_xmas,jan_sales,feb_mar,tpr,reg_price,total_web,a_tvrs_direct,a_press,b_press,a_inserts_1,b_inserts,a_magazine,a_magazine_1,b_magazine,a_outdoor,a_radio,a_catalogue,a_catalogue_1,a_catalogue_2,a_catalogue_3,a_catalogue_4,pr_event,comp1,comp2,comp3,retail_sales
a,off,one,01/01/2008,8.350902452,0,0,0,0,0,0,0,0,0,-0.055540838,0.69121543,3.456316681,4.532359014,0,0,4.162944014,3.544552512,0,0,0,0,0,0,0,0,0,0,3.978351878,2.487442298,2.841837914,0
a,off,one,01/08/2008,8.317033476,0.062716871,0,0,0,0,0,0,0,0,-0.055540838,0.63122073,3.380994674,4.557707594,0,3.602233841,4.324060835,3.367345092,3.544552512,0,0,0,0,0,0,0,0,0,0.718591155,2.884858458,2.77359267,0
a,off,one,01/15/2008,8.365439636,0.048145021,0,0,0,0,0,0,0,0.042772661,-0.055540838,0.68730887,3.62700405,4.64425696,2.34385733,3.906432674,4.133148346,3.658545381,3.367345092,0,0,0,0,0,0,0,0,0,3.077346519,2.093464925,2.587146421,0
a,off,one,01/22/2008,8.46019947,0.039309505,0,0,0,0,0,0,0.103913735,0.046727096,-0.055540838,0.72656252,3.269568939,4.592307515,2.70108521,3.901598642,4.565648169,3.890438957,3.658545381,0,0,0,3.743310919,0,0,0,0,0,2.153268597,5.167116889,4.650345609,0
a,off,one,01/29/2008,8.347116361,0.02736805,0,0,0,0,0,0,0.04950296,0.053298264,-0.055540838,0.75003015,1.568615918,4.631007773,0,3.945152682,4.723070168,3.651213977,3.890438957,0,0,0,3.052768339,3.743310919,0,0,0,0,4.278762729,3.314378411,2.642225614,0
a,off,one,02/05/2008,8.478868077,0.027198757,0,0,0,0,0,0,0.104901403,0,-0.055540838,0.66521858,0,4.726830079,0,3.7591355,4.502448369,4.125081287,3.651213977,0,0,0,0,3.052768339,3.743310919,0,0,0,2.544059058,3.501862495,2.872137942,0
a,off,one,02/12/2008,8.291295852,0,0,0,0,0,0,0,0,0.056968551,-0.055540838,0.66202267,0,4.741315649,0,3.522380779,4.49930339,3.801027275,4.125081287,0,0,0,0,0,3.052768339,3.743310919,0,0,3.045938346,3.886147913,2.338290375,0
a,off,one,02/19/2008,8.289790583,0,0,0,0,0,0,0,0,0.015457222,-0.055540838,1.15428881,0,4.701510588,0,3.775620915,4.605464693,2.533582732,3.801027275,0,0,0,2.534976626,0,0,3.052768339,3.743310919,0,3.076430349,5.494708867,3.922019819,0
a,off,one,02/26/2008,8.129469765,0,0,0,0,0,0,0,0,0.027148835,-0.055540838,0.55230114,2.292534757,4.877676756,0,4.130346354,5.006093438,4.32346433,2.533582732,0,0,0,0,2.534976626,0,0,3.052768339,0,3.937854369,4.329162647,1.978638005,0
a,off,one,03/04/2008,8.260234292,0,0,0,0,0,0,0,0,0.023228751,-0.055540838,0.45446703,2.923161581,4.938825907,0,3.811152749,5.204587126,3.265003343,4.32346433,0,0,0,0,0,2.534976626,0,0,0,0.765887869,4.513467289,2.838883607,0
