route,week,sales,level_shifts,season_negative,season_positive,route4_out1,route6_sdum1,route6_sdum2,route6_sdum3,total_price,reg_price,tpr,temp_dep,yt_views,yt_views_1,paid_search_imps,display_imps,email_open,tv,tv_1,tv_2,tv_3,tv_4,tv_5,ooh_1,news,news_1,news_2,radio,radio_1,radio_2,total_mag,total_mag_1,total_mag_2,departures,comp1_ooh,comp2_tv,comp2_tmag_1,comp3_tv_1
ROUTE1,2013-1,2690.000001,0,0,0,0,0,0,0,-0.560996309,-0.308875057,0.216194829,-0.394654192,0,0,2.29782184,0,0.13105649,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98109521,0,0,0,0.224,0,0,0
ROUTE1,2013-2,4146.999999,0,0,0,0,0,0,0,-0.413788834,-0.308875057,0.068987353,0,0.654803825,0,2.32129244,0,0.69067227,0,0,0,0,0,0,0.9765,0,0,0,0,0,0,0,2.98109521,0,0,0.784,0,2.936,0.028
ROUTE1,2013-3,3852,0,0,0,0,0,0,0,-0.420664708,-0.308875057,0.075863228,0,1.024343545,0.654803825,1.9739773,0,0.69067227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98109521,0,0.784,7.411,0,0.719
ROUTE1,2013-4,3844,0,0,0,0,0,0,0,-0.477268282,-0.308875057,0.132466802,0,0.859206075,1.024343545,1.97360305,0,0.69067227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784,4.504,1.624,0.719
ROUTE1,2013-5,4280.000002,0.013428814,0,0.190080732,0,0,0,0,-0.4205662,-0.308875057,0.075764719,0,0.760571424,0.859206075,2.08198672,0,0.66216028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785,7.284,0,0.719
ROUTE1,2013-6,4111,0.008057647,0,0.141896084,0,0,0,0,-0.34480148,-0.308875057,0,0,0.5392577,0.760571424,2.19025601,0,0.47156361,0,0,0,0,0,0,0.4506,0,0,0,0,0,0,0,0,0,0,0.794,6.824,2.44,0.834
ROUTE1,2013-7,3962.999999,0.001893849,0,0.123721751,0,0,0,0,-0.391481124,-0.308875057,0.046679643,0,0.484784139,0.5392577,2.17665519,0,0.47156361,0,0,0,0,0,0,0.4506,0,0,0,0,0,0,0,0,0,0,0.794,8.781,3.072,0.834
ROUTE1,2013-8,3704.000001,0,0,0.043890377,0,0,0,0,-0.385159684,-0.308875057,0.040358204,-0.021978907,0.360585782,0.484784139,2.10030547,0,0.47156361,0,0,0,0,0,0,0.4506,0,0,0,0,0,0,0,0,0,0,0.794,10.307,1.328,0.834
ROUTE1,2013-9,4615.999999,0.042629177,0,0.183393574,0,0,0,0,-0.383301306,-0.308875057,0.038499825,0,0.519875459,0.360585782,2.00821898,0,0.46297348,0,0,0,0,0,0,0.4506,0,0,0,0,0,0,0,0,0,0.032088315,0.762,0,0,0.834
ROUTE1,2013-10,4421.999998,0.017617789,0,0.227093588,0,0,0,0,-0.304244867,-0.268318444,0,0,1.046603785,0.519875459,2.0118178,0,0.40982291,2.220971298,0,0,0,0,0,0.4506,4.7738,0,0,2.9766,0,0,0,0,0,0.16034265,0.541,0,1.741,0.081
ROUTE1,2013-11,4123.000001,0.026395082,0,0.183646523,0,0,0,0,-0.239419487,-0.203493064,0,0,0.817180237,1.046603785,1.90902131,0,0.40982291,3.883681838,2.220971298,0,0,0,0,0.556,2.7495,4.7738,0,2.9766,2.9766,0,0,0,0,0.16034265,0.541,0,0,0.081
ROUTE1,2013-12,3628.999999,0,0,0.073117008,0,0,0,0,-0.247076383,-0.203493064,0.007656896,0,1.047428981,0.817180237,1.19395443,0,0.40982291,3.332815448,3.883681838,2.220971298,0,0,0,0.556,4.9435,2.7495,4.7738,2.9766,2.9766,2.9766,2.5355022,0,0,0.16034265,0.541,0,1.426,0.081
ROUTE1,2013-13,3896.000001,0,0,0.085495827,0,0,0,0,-0.394976644,-0.203493064,0.155557158,0,0.817872278,1.047428981,0.85767065,0,0.40982291,0,3.332815448,3.883681838,2.220971298,0,0,0.556,0,4.9435,2.7495,0,2.9766,2.9766,0,2.5355022,0,0.16034265,0.541,0,0,0.081
ROUTE1,2013-14,4389.000001,0.023881567,0,0.10837042,0,0,0,0,-0.3832694,-0.203493064,0.143849913,0,0.738348287,0.817872278,0.96843907,0,0.6079365,0,0,3.332815448,3.883681838,2.220971298,0,0.556,1.8322,0,4.9435,0,0,2.9766,1.216531225,0,2.5355022,0.16034265,0.442,6.486,0,0.773
ROUTE1,2013-15,4221.999998,0.013972803,0,0.091961407,0,0,0,0,-0.370738169,-0.203493064,0.131318682,0,0.863180907,0.738348287,1.04752895,0,0.67735932,3.125597738,0,0,3.332815448,3.883681838,2.220971298,2.2132,4.9435,1.8322,0,3.034,0,0,1.67618516,1.216531225,0,0.16034265,0.399,7.901,1.184,0.665
ROUTE1,2013-16,3948.000002,0.024701128,0,0.041994435,0,0,0,0,-0.286609656,-0.203493064,0.047190169,0,0.96164164,0.863180907,0.9084987,0,0.67735932,3.162619438,3.125597738,0,0,3.332815448,3.883681838,2.2132,2.5253,4.9435,1.8322,3.034,3.034,0,0,1.67618516,1.216531225,0.16034265,0.399,8.271,0,0.665
ROUTE1,2013-17,3712,0,0,0.044674895,0,0,0,0,-0.288182353,-0.203493064,0.048762867,0,1.25678532,0.96164164,1.02926352,0,0.67735932,3.162619438,3.162619438,3.125597738,0,0,3.332815448,2.2132,4.7333,2.5253,4.9435,3.034,3.034,3.034,1.74454094,0,1.67618516,0.16034265,0.399,8.554,1.021,0
ROUTE1,2013-18,3752,0,0,0.089300822,0,0,0,0,-0.282988954,-0.203493064,0.043569467,0,0.857545221,1.25678532,1.0684381,0,0.64214698,0,3.162619438,3.162619438,3.125597738,0,0,2.2132,2.9308,4.7333,2.5253,0,3.034,3.034,4.02688681,1.74454094,0,0.16034265,0.906,8.533,0,0
ROUTE1,2013-19,3322.999999,0,0,0.132823323,0,0,0,0,-0.165189673,-0.12926325,0,0,0.9610423,0.857545221,1.1527319,0,0.59318132,0,0,3.162619438,3.162619438,3.125597738,0,1.9389,3.4914,2.9308,4.7333,0,0,3.034,2.53547936,4.02688681,1.74454094,0.16034265,1.331,8.69,1.446,0
ROUTE1,2013-20,3389.000001,0,0,0.107844763,0,0,0,0,-0.203285453,-0.12926325,0.03809578,-0.018868484,1.076958419,0.9610423,1.26091389,0,0.59318132,3.154995218,0,0,3.162619438,3.162619438,3.125597738,2.3468,4.8876,3.4914,2.9308,3.034,0,0,1.188212316,2.53547936,4.02688681,0.151040257,1.331,9.119,0,0
ROUTE1,2013-21,3454.000001,0.03771522,-0.04047,0,0,0,0,0,-0.197706456,-0.12926325,0.032516782,0,1.180822888,1.076958419,1.42411392,0,0.59318132,3.154995218,3.154995218,0,0,3.162619438,3.162619438,2.3468,4.1756,4.8876,3.4914,3.034,3.034,0,2.95524333,1.188212316,2.53547936,0.151040257,1.331,8.852,1.784,0
ROUTE1,2013-22,3199,0,-0.022996259,0,0,0,0,0,-0.233054185,-0.12926325,0.067864512,0,0.745439192,1.180822888,1.24194541,0,0.59318132,0,3.154995218,3.154995218,0,0,3.162619438,2.255,0,4.1756,4.8876,0,3.034,3.034,3.76845532,2.95524333,1.188212316,0.09333194,1.331,8.912,0,0.032
ROUTE1,2013-23,3356.000001,0.006451036,0,0.06410302,0,0,0,0,-0.164882351,-0.128955928,0,-0.032088315,0.596111375,0.745439192,1.34957029,0,0.56416793,0,0,3.154995218,3.154995218,0,0,1.4238,3.8547,0,4.1756,0,0,3.034,2.39337993,3.76845532,2.95524333,0.032088315,1.311,7.6,1.822,0.807
ROUTE1,2013-24,3233.000001,0,0,0.006520166,0,0,0,0,-0.1529222,-0.116995777,0,-0.010582109,0.541996177,0.596111375,1.39908736,0,0.56416793,0,0,0,3.154995218,3.154995218,0,1.4238,0,3.8547,0,0,0,0,0,2.39337993,3.76845532,0.032088315,1.311,0,0,0.807
ROUTE1,2013-25,3164,0,-0.031932184,0,0,0,0,0,-0.150525019,-0.116995777,0,-0.010582109,0.642925742,0.541996177,1.35359235,0,0.56416793,0.557353058,0,0,0,3.154995218,3.154995218,1.4238,0,0,3.8547,0,0,0,0.965081943,0,2.39337993,0.032088315,1.311,0,1.021,0.115
ROUTE1,2013-26,2792,0,-0.132328447,0,0,0,0,0,-0.151074193,-0.11514777,0,-0.010582109,1.558969224,0.642925742,1.40720678,0,0.56416793,0.557353058,0.557353058,0,0,0,3.154995218,0.8173,2.0299,0,0,0,0,0,1.67618516,0.965081943,0,0.032088315,1.311,0,0,0
ROUTE1,2013-27,2657.999999,0.020268286,-0.157425999,0,0,0,0,0,-0.174724576,-0.138798153,0,-0.099529595,0.547450736,1.558969224,1.01393687,0,0.45824685,0.586349738,0.557353058,0.557353058,0,0,0,0.8173,0,2.0299,0,0,0,0,3.96048314,1.67618516,0.965081943,0.032088315,0.699,0,0,0
ROUTE1,2013-28,3376.999999,0.03403614,-0.03397628,0,0,0,0,0,-0.181219485,-0.145293062,0,-0.010582109,0.704059214,0.547450736,1.29863722,0,0.41252365,0.586349738,0.586349738,0.557353058,0.557353058,0,0,0.8173,0,0,2.0299,0,0,0,0,3.96048314,1.67618516,0.032088315,0.287,0,2,4.805
ROUTE1,2013-29,3893.000002,0.104372214,-0.045857411,0,0,0,0,0,-0.205385788,-0.169459365,0,-0.010582109,0.670558544,0.704059214,1.22048774,0,0.41252365,0,0.586349738,0.586349738,0.557353058,0.557353058,0,0.8173,0,0,0,0,0,0,1.77618912,0,3.96048314,0.032088315,0.287,0,0,4.383
ROUTE1,2013-30,3844,0.090008866,-0.045901773,0,0,0,0,0,-0.265589495,-0.173341402,0.056321671,0,0.64457251,0.670558544,1.19727714,0,0.41252365,0,0,0.586349738,0.586349738,0.557353058,0.557353058,0.4506,0,0,0,0,0,0,1.67685922,1.77618912,0,0.032088315,0.287,0,1.714,4.86
ROUTE1,2013-31,3911.000001,0.098993431,-0.016584942,0,0,0,0,0,-0.253425539,-0.173341402,0.044157714,0,0.582198107,0.64457251,1.27164798,0,0.38483896,0,0,0,0.586349738,0.586349738,0.557353058,0.4506,1.3368,0,0,0,0,0,1.59482718,1.67685922,1.77618912,0.021506205,0.245,0,0,0
ROUTE1,2013-32,3836,0.056634447,0,0.012543375,0,0,0,0,-0.272216492,-0.173341402,0.062948668,0,0.502483717,0.582198107,1.24539634,0,0.31207613,0,0,0,0,0.586349738,0.586349738,0.4506,1.3368,1.3368,0,0,0,0,0,1.59482718,1.67685922,0.021506205,0.133,4.466,2.183,5.842
ROUTE1,2013-33,3393.000001,0.06707008,-0.04538203,0,0,0,0,0,-0.232382691,-0.173341402,0.023114867,0,0.496300582,0.502483717,1.17916568,0,0.31207613,2.220971298,0,0,0,0,0.586349738,0.4506,0,1.3368,1.3368,2.4018,0,0,0,0,1.59482718,0.021506205,0.133,6.217,0,5.368
ROUTE1,2013-34,3512.000001,0.060574191,-0.069767925,0,0,0,0,0,-0.275391321,-0.173341402,0.066123496,0,0.554677506,0.496300582,1.60722688,0,0.31207613,2.220971298,2.220971298,0,0,0,0,0.4506,0,0,1.3368,2.4018,2.4018,0,0,0,0,0.021506205,0.133,5.676,2.29,5.66
ROUTE1,2013-35,3381.999998,0.046753029,-0.120827633,0,0,0,0,0,-0.329908122,-0.173341402,0.120640297,0,0.414825551,0.554677506,2.14308087,0,0.31207613,2.220971298,2.220971298,2.220971298,0,0,0,0.4506,1.3368,0,0,2.4018,2.4018,2.4018,3.15119629,0,0,0.021506205,0.133,6.378,0,5.551
ROUTE1,2013-36,3514.999999,0.064116721,-0.048336525,0,0,0,0,0,-0.287578911,-0.173341402,0.078311086,-0.100643526,1.020396542,0.414825551,1.99908506,0,0.48572018,2.810967148,2.220971298,2.220971298,2.220971298,0,0,0.4506,4.1763,1.3368,0,2.1502,2.4018,2.4018,1.159113251,3.15119629,0,0.021506205,1.207,6.042,2.277,5.775
ROUTE1,2013-37,4307,0.081489715,0,0.021489822,0,0,0,0,-0.29246501,-0.173341402,0.083197185,-0.021506205,0.356753311,1.020396542,2.00977847,0,0.51194072,2.895540918,2.810967148,2.220971298,2.220971298,2.220971298,0,0.4506,4.1756,4.1763,1.3368,2.1502,2.1502,2.4018,1.63254399,1.159113251,3.15119629,0.021506205,1.311,5.496,0,6.559
ROUTE1,2013-38,4105,0.061793124,-0.014195307,0,0,0,0,0,-0.255012113,-0.173341402,0.045744289,0,0.616624915,0.356753311,2.20999367,0,0.51194072,3.307234688,2.895540918,2.810967148,2.220971298,2.220971298,2.220971298,2.4705,4.8979,4.1756,4.1763,2.9771,2.1502,2.1502,2.36965325,1.63254399,1.159113251,0.021506205,1.311,8.395,1.549,5.703
ROUTE1,2013-39,3795.000001,0,0,0.00323797,0,0,0,0,-0.209267825,-0.173341402,0,0,0.475571953,0.616624915,2.31298497,0,0.51194072,3.176639248,3.307234688,2.895540918,2.810967148,2.220971298,2.220971298,2.4806,0,4.8979,4.1756,2.9356,2.9771,2.1502,1.63643157,2.36965325,1.63254399,0.021506205,1.311,7.591,0,2.57
ROUTE1,2013-40,4001.000001,0,0,0.045754411,0,0,0,0,-0.24285095,-0.173341402,0.033583125,0,0.600419869,0.475571953,2.33334622,0,0.40869303,3.150863478,3.176639248,3.307234688,2.895540918,2.810967148,2.220971298,2.4806,4.0785,0,4.8979,3.0357,2.9356,2.9771,4.18452977,1.63643157,2.36965325,0.021506205,1.297,8.269,0,5.081
ROUTE1,2013-41,3935.000001,0,0,0.029935491,0,0,0,0,-0.224803323,-0.173341402,0.015535498,0,0.452910885,0.600419869,2.27632304,0,0.32359853,2.649008198,3.150863478,3.176639248,3.307234688,2.895540918,2.810967148,2.4806,0,4.0785,0,2.2795,3.0357,2.9356,3.03678315,4.18452977,1.63643157,0.021506205,1.287,9.295,2.049,5.565
ROUTE1,2013-42,3469,0,-0.058444079,0,0,0,0,0,-0.231380386,-0.173341402,0.022112561,0,0.446412487,0.452910885,2.32101634,0,0.32359853,3.150863478,2.649008198,3.150863478,3.176639248,3.307234688,2.895540918,1.956,4.6169,0,4.0785,3.0542,2.2795,3.0357,1.74454094,3.03678315,4.18452977,0.021506205,1.287,8.802,0,5.204
ROUTE1,2013-43,4125.000001,0,0,0.041474297,0,0,0,0,-0.274069692,-0.173341402,0.064801868,0,0.942892981,0.446412487,2.44059616,0,0.32359853,3.150863478,3.150863478,2.649008198,3.150863478,3.176639248,3.307234688,1.9389,1.1238,4.6169,0,3.0542,3.0542,2.2795,2.0961435,1.74454094,3.03678315,0.021506205,1.287,8.825,1.549,3.173
ROUTE1,2013-44,4301.000001,0.004477925,0,0.079720609,0,0,0,0,-0.280333738,-0.173341402,0.071065913,-0.043485112,1.657481418,0.942892981,2.47821314,0,0.37918223,0,3.150863478,3.150863478,2.649008198,3.150863478,3.176639248,1.9389,4.2218,1.1238,4.6169,0,3.0542,3.0542,3.26708445,2.0961435,1.74454094,0.021506205,1.184,8.901,0,1.677
ROUTE1,2013-45,4238.999999,0.020440812,0,0.088034721,0,0,0,0,-0.222047091,-0.173341402,0.012779266,0,4.214215281,1.657481418,2.4337573,0,0.66014397,0,0,3.150863478,3.150863478,2.649008198,3.150863478,1.9389,4.3804,4.2218,1.1238,0,0,3.0542,0,3.26708445,2.0961435,0.021506205,0.139,9.249,1.426,6.109
ROUTE1,2013-46,3899,0.044058381,0,0.037736027,0,0,0,0,-0.218501786,-0.173341402,0.009233961,0,0.921917505,4.214215281,2.38785325,0,0.66014397,0,0,0,3.150863478,3.150863478,2.649008198,0.9785,4.358,4.3804,4.2218,0,0,0,0,0,3.26708445,0.021506205,0.139,8.628,0,4.308
ROUTE1,2013-47,3211,0,-0.066218661,0,0,0,0,0,-0.214921995,-0.173341402,0.00565417,0,0.463812876,0.921917505,2.38984841,0,0.66014397,0,0,0,0,3.150863478,3.150863478,0.9785,2.6011,4.358,4.3804,0,0,0,0,0,0,0.021506205,0.139,9.029,1.641,4.796
ROUTE1,2013-48,2484,0.026379559,-0.233957631,0,0,0,0,0,-0.203761291,-0.167834868,0,-0.161268148,0.215591596,0.463812876,2.27263816,0,0.66014397,0,0,0,0,0,3.150863478,0.9785,2.567,2.6011,4.358,0,0,0,2.22658212,0,0,0.021506205,0.139,8.266,0,5.686
ROUTE1,2013-49,3366.999999,0.044134273,-0.028323907,0,0,0,0,0,-0.096447422,-0.167834868,0,0,2.022605775,0.215591596,2.47936407,0,0.35223598,0,0,0,0,0,0,0.9785,0.568,2.567,2.6011,0,0,0,0,2.22658212,0,0.021506205,0.124,8.691,2.377,1.843
ROUTE1,2013-50,3027,0.091435559,-0.104492741,0,0,0,0,0,-0.138298109,-0.102371686,0,0,1.336278917,2.022605775,2.38480651,0,0.29025847,0,0,0,0,0,0,0.8543,1.1238,0.568,2.567,0,0,0,0,0,2.22658212,0.021506205,0.122,5.024,0,0.908
ROUTE1,2013-51,2774.999999,0.1107273,-0.277713224,0,0,0,0,0,-0.227842106,-0.191915683,0,0,0.961941176,1.336278917,2.15684555,0,0.29025847,0,0,0,0,0,0,0.8543,0,1.1238,0.568,0,0,0,0,0,0,0.021506205,0.122,4.267,1.659,1.856
ROUTE1,2013-52,4371.000001,0.083694197,-0.590482133,0,0,0,0,0,-1.336528496,-0.191915683,1.10868639,-0.065957968,0.637969102,0.961941176,2.30027132,0,0.29025847,0,0,0,0,0,0,0.8543,0,0,1.1238,0,0,0,0,0,0,0.021506205,0.122,5.627,0,1.856
ROUTE1,2014-1,3462.000001,0.084534435,-0.501420202,0,0,0,0,0,-0.714182756,-0.191915683,0.48634065,-0.124454174,0.375770455,0.637969102,2.49804915,0,0.3991529,0,0,0,0,0,0,2.2164,0,0,0,0,0,0,0,0,0,0.021506205,0.072,5.161,0,1.744
ROUTE1,2014-2,4903.000002,0.01771949,0,0.149362104,0,0,0,0,-0.380595105,-0.191915683,0.152752999,-0.021506205,0.33960213,0.375770455,2.58705461,0,0.52804428,0,0,0,0,0,0,0.8732,3.4914,0,0,0,0,0,0,0,0,0.021506205,0,4.509,1.549,0.192
ROUTE1,2014-3,4829.000001,0.032886355,0,0.127566972,0,0,0,0,-0.428153418,-0.191915683,0.200311312,-0.021506205,0.131275716,0.33960213,2.48084065,0,0.52804428,0,0,0,0,0,0,0.8732,0,3.4914,0,0,0,0,0,0,0,0.021506205,0,5.636,0,0.192
ROUTE1,2014-4,4953.000002,0.050945311,0,0.110250784,0,0,0,0,-0.430063373,-0.191915683,0.202221267,-0.021506205,0.658461623,0.131275716,2.26558769,0,0.52804428,0,0,0,0,0,0,0.8732,0,0,3.4914,0,0,0,0,0,0,0.021506205,0,3.968,1.426,0.192
ROUTE1,2014-5,4771.999999,0,0,0.190080732,0,0,0,0,-0.415117356,-0.191915683,0.18727525,-0.021506205,3.770813307,0.658461623,2.25841573,0,0.52804428,0,0,0,0,0,0,0.8732,1.0378,0,0,0,0,0,0,0,0,0.021506205,0,0,0,0.192
ROUTE1,2014-6,4768.999999,0,0,0.141896084,0,0,0,0,-0.409459962,-0.191915683,0.181617856,-0.043485112,1.903720411,3.770813307,2.34033217,0,0.12622098,0,0,0,0,0,0,0.8732,0,1.0378,0,0,0,0,0,0,0,0.021506205,0.18,2.955,2.248,0.249
ROUTE1,2014-7,5045.999999,0,0,0.123721751,0,0,0,0,-0.361687236,-0.191915683,0.13384513,-0.021506205,0.627563181,1.903720411,2.49924014,0,0.12622098,0,0,0,0,0,0,0.8732,3.3642,0,1.0378,0,0,0,0,0,0,0.021506205,0.18,2.77,0,6.66
ROUTE1,2014-8,4523.999999,0.036240014,0,0.043890377,0,0,0,0,-0.297366275,-0.191915683,0.069524169,-0.043485112,0.564084071,0.627563181,2.38069626,0,0.12622098,0,0,0,0,0,0,0.8732,0,3.3642,0,0,0,0,0,0,0,0.021506205,0.18,2.572,2.034,7.127
ROUTE1,2014-9,5084.999998,0.030128395,0,0.183393574,0,0,0,0,-0.269246198,-0.191915683,0.041404092,-0.010695289,0.346276237,0.564084071,2.54727392,0,0.12622098,0,0,0,0,0,0,0.8732,0,0,3.3642,0,0,0,0,0,0,0.021506205,0.18,0,1.808,7.285
ROUTE1,2014-10,5357.000001,0.041498025,0,0.227093588,0,0,0,0,-0.315255131,-0.191915683,0.087413025,0,0.372535951,0.346276237,2.57449603,0,0,2.588024378,0,0,0,0,0,0.8732,3.026,0,0,0,0,0,0,0,0,0.021506205,1.315,0,0,5.12
ROUTE1,2014-11,5006.999998,0,0,0.183646523,0,0,0,0,-0.292955597,-0.191915683,0.06511349,0,0.455399067,0.372535951,2.52358372,0,0,2.588024378,2.588024378,0,0,0,0,2.3544,3.4914,3.026,0,2.2753,0,0,1.058627126,0,0,0.021506205,1.315,0,0,4.329
