"","var","SEGMENT","CHANNEL","para","var_group","model_var","model_name_group"
"1","BQ","DIY","CALL_COLLECT",-0.026612,"BQ","SALES","sales"
"2","BQ","DIY","CONTACT_CENTRE",-0.044061,"BQ","SALES","sales"
"3","BQ","DIY","TRADE_COUNTER",-0.008536,"BQ","SALES","sales"
"4","BQ_1","TRADE","CALL_COLLECT",-0.0284518985,"BQ","SALES","sales"
"5","BQ_1","TRADE","WEB",-0.02141156375,"BQ","SALES","sales"
"6","BRAND_TV","DIY","CALL_COLLECT",0.0070398344,"BRAND_TV","SALES","sales"
"7","BRAND_TV","DIY","CLICK_COLLECT",0.01032857635,"BRAND_TV","SALES","sales"
"8","BRAND_TV","DIY","CONTACT_CENTRE",0.00615,"BRAND_TV","SALES","sales"
"9","BRAND_TV","DIY","TRADE_COUNTER",0.00798548477,"BRAND_TV","SALES","sales"
"10","BRAND_TV","DIY","WEB",0.00875729532,"BRAND_TV","SALES","sales"
"11","BRAND_TV","TRADE","CALL_COLLECT",0.01139768622,"BRAND_TV","SALES","sales"
"12","BRAND_TV","TRADE","CLICK_COLLECT",0.01337230468,"BRAND_TV","SALES","sales"
"13","BRAND_TV","TRADE","CONTACT_CENTRE",0.01194168881,"BRAND_TV","SALES","sales"
"14","BRAND_TV","TRADE","TRADE_COUNTER",0.01158355491,"BRAND_TV","SALES","sales"
"15","BRAND_TV","TRADE","WEB",0.01294998565,"BRAND_TV","SALES","sales"
"16","BRAND_TV_1","DIY","CALL_COLLECT",0.00716454045,"BRAND_TV","SALES","sales"
"17","BRAND_TV_1","DIY","CLICK_COLLECT",0.007333634,"BRAND_TV","SALES","sales"
"18","BRAND_TV_1","DIY","CONTACT_CENTRE",0.00524,"BRAND_TV","SALES","sales"
"19","BRAND_TV_1","DIY","TRADE_COUNTER",0.00524,"BRAND_TV","SALES","sales"
"20","BRAND_TV_1","DIY","WEB",0.00607627795,"BRAND_TV","SALES","sales"
"21","BRAND_TV_1","TRADE","CALL_COLLECT",0.00773,"BRAND_TV","SALES","sales"
"22","BRAND_TV_1","TRADE","CLICK_COLLECT",0.00959156643,"BRAND_TV","SALES","sales"
"23","BRAND_TV_1","TRADE","CONTACT_CENTRE",0.00800599918,"BRAND_TV","SALES","sales"
"24","BRAND_TV_1","TRADE","TRADE_COUNTER",0.00773,"BRAND_TV","SALES","sales"
"25","BRAND_TV_1","TRADE","WEB",0.00793409238,"BRAND_TV","SALES","sales"
"26","BRAND_TV_2","DIY","CALL_COLLECT",0.00537585082,"BRAND_TV","SALES","sales"
"27","BRAND_TV_2","DIY","CLICK_COLLECT",0.00433,"BRAND_TV","SALES","sales"
"28","BRAND_TV_2","DIY","CONTACT_CENTRE",0.00433,"BRAND_TV","SALES","sales"
"29","BRAND_TV_2","DIY","TRADE_COUNTER",0.00433,"BRAND_TV","SALES","sales"
"30","BRAND_TV_2","DIY","WEB",0.00489614908,"BRAND_TV","SALES","sales"
"31","BRAND_TV_2","TRADE","CALL_COLLECT",0.00551,"BRAND_TV","SALES","sales"
"32","BRAND_TV_2","TRADE","CLICK_COLLECT",0.00598952618,"BRAND_TV","SALES","sales"
"33","BRAND_TV_2","TRADE","CONTACT_CENTRE",0.00603315284,"BRAND_TV","SALES","sales"
"34","BRAND_TV_2","TRADE","TRADE_COUNTER",0.00551,"BRAND_TV","SALES","sales"
"35","BRAND_TV_2","TRADE","WEB",0.00589685444,"BRAND_TV","SALES","sales"
"36","BRAND_TV_3","TRADE","CALL_COLLECT",0.00478404216,"BRAND_TV","SALES","sales"
"37","BRAND_TV_3","TRADE","CLICK_COLLECT",0.00679436304,"BRAND_TV","SALES","sales"
"38","BRAND_TV_3","TRADE","CONTACT_CENTRE",0.00533788068,"BRAND_TV","SALES","sales"
"39","BRAND_TV_3","TRADE","TRADE_COUNTER",0.00497327148,"BRAND_TV","SALES","sales"
"40","BRAND_TV_3","TRADE","WEB",0.0063644082,"BRAND_TV","SALES","sales"
"41","DDROP","DIY","CONTACT_CENTRE",0.003714,"DOOR_DROP","SALES","sales"
"42","DDROP","TRADE","CALL_COLLECT",0.010272,"DOOR_DROP","SALES","sales"
"43","DDROP","TRADE","CONTACT_CENTRE",0.01225725124,"DOOR_DROP","SALES","sales"
"44","DDROP_2","TRADE","CONTACT_CENTRE",0.010168,"DOOR_DROP","SALES","sales"
"45","DM","DIY","CALL_COLLECT",0.0131842072,"DIRECT_MAIL","SALES","sales"
"46","DM","DIY","CONTACT_CENTRE",0.0241,"DIRECT_MAIL","SALES","sales"
"47","DM","DIY","TRADE_COUNTER",0.00249111501,"DIRECT_MAIL","SALES","sales"
"48","DM","TRADE","CALL_COLLECT",0.00197623886,"DIRECT_MAIL","SALES","sales"
"49","DM","TRADE","CONTACT_CENTRE",0.01063044353,"DIRECT_MAIL","SALES","sales"
"50","DM","TRADE","TRADE_COUNTER",0.00243179283,"DIRECT_MAIL","SALES","sales"
"51","DM","TRADE","WEB",0.00833029845,"DIRECT_MAIL","SALES","sales"
"52","DM_1","DIY","CONTACT_CENTRE",0.00846,"DIRECT_MAIL","SALES","sales"
"53","DM_1","DIY","TRADE_COUNTER",0.002360095,"DIRECT_MAIL","SALES","sales"
"54","DM_1","TRADE","CALL_COLLECT",0.00363,"DIRECT_MAIL","SALES","sales"
"55","DM_1","TRADE","TRADE_COUNTER",0.002420655,"DIRECT_MAIL","SALES","sales"
"56","DM_1","TRADE","WEB",0.008149,"DIRECT_MAIL","SALES","sales"
"57","DM_2","DIY","CONTACT_CENTRE",0.00916,"DIRECT_MAIL","SALES","sales"
"58","DM_2","DIY","TRADE_COUNTER",0.00437488733,"DIRECT_MAIL","SALES","sales"
"59","DM_2","DIY","WEB",0.0033193004,"DIRECT_MAIL","SALES","sales"
"60","DM_2","TRADE","CALL_COLLECT",0.0070717734,"DIRECT_MAIL","SALES","sales"
"61","DM_2","TRADE","TRADE_COUNTER",0.00434818777,"DIRECT_MAIL","SALES","sales"
"62","DM_2","TRADE","WEB",0.0129331305,"DIRECT_MAIL","SALES","sales"
"63","DM_3","DIY","CONTACT_CENTRE",0.02619,"DIRECT_MAIL","SALES","sales"
"64","DM_3","DIY","TRADE_COUNTER",0.00501579095,"DIRECT_MAIL","SALES","sales"
"65","DM_3","TRADE","CALL_COLLECT",0.00991763398,"DIRECT_MAIL","SALES","sales"
"66","DM_3","TRADE","TRADE_COUNTER",0.00519722517,"DIRECT_MAIL","SALES","sales"
